run_id,model,run_dir,epochs,learning_rate,optimizer,weight_decay,scheduler,loss,best_epoch,val_mean_iou,test_mean_iou,test_pixel_accuracy
optuna_all_ep10_segformer_b0_trial010_ep10_lr9p53884em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial010_ep10_lr9p53884em05_adam_wd0_plateau,10,9.538839436462497e-05,adam,0.0,plateau,,10,0.574446,,
optuna_all_ep10_segformer_b0_trial011_ep10_lr9p4205em05_adamw_wd3p88572em05_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial011_ep10_lr9p4205em05_adamw_wd3p88572em05_plateau,10,9.420501180940846e-05,adamw,3.8857190594746905e-05,plateau,,10,0.575275,,
optuna_all_ep10_segformer_b0_trial012_ep10_lr5p91048em05_adamw_wd9p5849em05_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial012_ep10_lr5p91048em05_adamw_wd9p5849em05_plateau,10,5.9104846284584405e-05,adamw,9.584899674890296e-05,plateau,,10,0.564987,,
optuna_all_ep10_segformer_b0_trial013_ep10_lr5p97723em05_adamw_wd4p4232em05_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial013_ep10_lr5p97723em05_adamw_wd4p4232em05_plateau,10,5.977227849905029e-05,adamw,4.423195039291345e-05,plateau,,10,0.565489,,
optuna_all_ep10_segformer_b0_trial014_ep10_lr3p95431em05_adamw_wd1p83896em05_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial014_ep10_lr3p95431em05_adamw_wd1p83896em05_plateau,10,3.954306474720882e-05,adamw,1.838964609658358e-05,plateau,,10,0.551531,,
optuna_all_ep10_segformer_b0_trial015_ep10_lr7p66406em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial015_ep10_lr7p66406em05_adam_wd0_plateau,10,7.66405890844888e-05,adam,0.0,plateau,,10,0.573077,,
optuna_all_ep10_segformer_b0_trial016_ep10_lr9p93094em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial016_ep10_lr9p93094em05_adam_wd0_plateau,10,9.930937595431418e-05,adam,0.0,plateau,,10,0.576680,,
optuna_all_ep10_segformer_b0_trial017_ep10_lr6p0178em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial017_ep10_lr6p0178em05_adam_wd0_plateau,10,6.0178028096014283e-05,adam,0.0,plateau,,10,0.565721,,
optuna_all_ep10_segformer_b0_trial018_ep10_lr7p03066em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial018_ep10_lr7p03066em05_adam_wd0_plateau,10,7.030660441283872e-05,adam,0.0,plateau,,10,0.570506,,
optuna_all_ep10_segformer_b0_trial019_ep10_lr5p09192em05_adam_wd0_plateau,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\optuna_all_ep10_segformer_b0_trial019_ep10_lr5p09192em05_adam_wd0_plateau,10,5.091917297724615e-05,adam,0.0,plateau,,10,0.560672,,
weighted_ce_ep10_2026-05-13_02-51-05_unet_resnet34,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\weighted_ce_ep10_2026-05-13_02-51-05_unet_resnet34,10,0.0001,adam,0.0,none,weighted_ce,9,0.543447,0.550952,0.903917
weighted_ce_ep10_2026-05-13_02-51-05_deeplabv3plus_resnet50,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\weighted_ce_ep10_2026-05-13_02-51-05_deeplabv3plus_resnet50,10,9.759918974787204e-05,adam,0.0,plateau,weighted_ce,7,0.553880,0.554712,0.903670
weighted_ce_ep10_2026-05-13_02-51-05_segformer_b0,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\weighted_ce_ep10_2026-05-13_02-51-05_segformer_b0,10,0.0001,adam,0.0,none,weighted_ce,10,0.568392,0.554899,0.896784
final_unet_resnet34_weighted_ce_ep30,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\final_unet_resnet34_weighted_ce_ep30,30,0.0001,adam,0.0,none,weighted_ce,30,0.601921,0.605303,0.918824
final_deeplabv3plus_resnet50_ce_ep30,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\final_deeplabv3plus_resnet50_ce_ep30,30,9.759918974787204e-05,adam,0.0,plateau,ce,26,0.620560,0.619617,0.926652
final_segformer_b0_ce_ep30,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\final_segformer_b0_ce_ep30,30,0.0001,adam,0.0,none,ce,28,0.610040,0.583784,0.923929
final_unet_resnet34_weighted_ce_ep30_v3,unet_resnet34,D:\Studying\Diplom maga\code\outputs\unet_resnet34\runs\final_unet_resnet34_weighted_ce_ep30_v3,30,0.0001,adam,0.0,none,weighted_ce,23,0.595705,0.597710,0.917865
final_deeplabv3plus_resnet50_ce_ep30_v3,deeplabv3plus_resnet50,D:\Studying\Diplom maga\code\outputs\deeplabv3plus_resnet50\runs\final_deeplabv3plus_resnet50_ce_ep30_v3,30,9.759918974787204e-05,adam,0.0,plateau,ce,28,0.616294,0.622758,0.927082
final_segformer_b0_ce_ep30_v3,segformer_b0,D:\Studying\Diplom maga\code\outputs\segformer_b0\runs\final_segformer_b0_ce_ep30_v3,30,0.0001,adam,0.0,none,ce,30,0.611783,0.587871,0.923587
